order_details_id,pizza_id,quantity,date,time,size,price,name,category,ingredients,Sales,Sales_day,Month
1,hawaiian_m,1,2015-01-01,0 days 11:38:36,M,13.25,The Hawaiian Pizza,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",13.25,Thursday,January
2,classic_dlx_m,1,2015-01-01,0 days 11:57:40,M,16.0,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",16.0,Thursday,January
3,five_cheese_l,1,2015-01-01,0 days 12:12:28,L,18.5,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",18.5,Thursday,January
4,ital_supr_l,1,2015-01-01,0 days 12:16:31,L,20.75,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",20.75,Thursday,January
5,mexicana_m,1,2015-01-01,0 days 12:21:30,M,16.0,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",16.0,Thursday,January
6,thai_ckn_l,1,2015-01-01,0 days 12:29:36,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",20.75,Thursday,January
7,ital_supr_m,1,2015-01-01,0 days 12:50:37,M,16.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",16.5,Thursday,January
8,prsc_argla_l,1,2015-01-01,0 days 12:51:37,L,20.75,The Prosciutto and Arugula Pizza,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",20.75,Thursday,January
9,ital_supr_m,1,2015-01-01,0 days 12:52:01,M,16.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",16.5,Thursday,January
10,ital_supr_m,1,2015-01-01,0 days 13:00:15,M,16.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",16.5,Thursday,January
11,bbq_ckn_s,1,2015-01-01,0 days 13:02:59,S,12.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",12.75,Thursday,January
12,the_greek_s,1,2015-01-01,0 days 13:04:41,S,12.0,The Greek Pizza,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",12.0,Thursday,January
